"key","value"
"lev_low_mde","0.018"
"lev_low_n","311"
"lev_low_p","0.253"
"lev_low_p_txt","= 0.253"
"lev_low_se","0.006"
"lev_mde","0.014"
"lev_mde_pct","1.4"
"lev_mde_pp","1.4"
"lev_nco","2,520"
"lev_ntr","631"
"lev_p","0.085"
"lev_p_txt","= 0.085"
"lev_pholm","0.134"
"lev_pholm_txt","= 0.134"
"lev_pre_p","0.002"
"lev_pre_p_txt","= 0.002"
"lev_pre_wald","17.54"
"lev_R1","0.009"
"lev_R1_hi","0.018"
"lev_R1_lo","−0.000"
"lev_R1_p","0.057"
"lev_R1_p_txt","= 0.057"
"lev_R1_pct","0.9"
"lev_R1_se","0.005"
"lev_R2","0.012"
"lev_R2_hi","0.021"
"lev_R2_lo","0.004"
"lev_R2_p","0.004"
"lev_R2_p_txt","= 0.004"
"lev_R2_pct","1.2"
"lev_R2_se","0.004"
"lev_R3","0.004"
"lev_R3_hi","0.016"
"lev_R3_lo","−0.006"
"lev_R3_p","0.395"
"lev_R3_p_txt","= 0.395"
"lev_R3_pct","0.4"
"lev_R3_se","0.005"
"lev_R4","0.009"
"lev_R4_hi","0.019"
"lev_R4_lo","−0.001"
"lev_R4_p","0.081"
"lev_R4_p_txt","= 0.081"
"lev_R4_pct","0.9"
"lev_R4_se","0.005"
"lev_R5","−0.002"
"lev_R5_hi","0.007"
"lev_R5_lo","−0.011"
"lev_R5_p","0.670"
"lev_R5_p_txt","= 0.670"
"lev_R5_pct","−0.2"
"lev_R5_se","0.005"
"lev_R6","0.005"
"lev_R6_p","0.277"
"lev_R6_p_txt","= 0.277"
"lev_R6_pct","0.5"
"lev_R6_se","0.005"
"lev_R7","0.023"
"lev_R7_hi","0.035"
"lev_R7_hi_pct","3.6"
"lev_R7_lo","0.011"
"lev_R7_lo_pct","1.1"
"lev_R7_ntr","631"
"lev_R7_p","<0.001"
"lev_R7_p_txt","< 0.001"
"lev_R7_pct","2.3"
"lev_R7_se","0.006"
"lev_R7_slope","−0.006"
"lev_R8","0.008"
"lev_R8_hi","0.018"
"lev_R8_hi_pct","1.8"
"lev_R8_lo","−0.003"
"lev_R8_lo_pct","−0.3"
"lev_R8_ntr","547"
"lev_R8_p","0.137"
"lev_R8_p_txt","= 0.137"
"lev_R8_pct","0.8"
"lev_R8_se","0.005"
"lev_R9","0.022"
"lev_R9_hi","0.038"
"lev_R9_hi_pct","3.9"
"lev_R9_lo","0.007"
"lev_R9_lo_pct","0.7"
"lev_R9_ntr","265"
"lev_R9_p","0.006"
"lev_R9_p_txt","= 0.006"
"lev_R9_pct","2.3"
"lev_R9_se","0.008"
"lev_runup_m2","−1.2"
"lev_runup_m3","−1.6"
"lev_runup_m4","−1.6"
"lev_runup_m5","−2.4"
"lev_se","0.005"
"mcap_att","−0.055"
"mcap_att_pct","−5.3"
"mcap_att_pp","−5.5"
"mcap_diff","0.052"
"mcap_diff_mde","0.131"
"mcap_diff_p","0.270"
"mcap_diff_p_txt","= 0.270"
"mcap_diff_se","0.047"
"mcap_e0","−0.027"
"mcap_e0_hi","0.013"
"mcap_e0_lo","−0.068"
"mcap_e0_p","0.192"
"mcap_e0_p_txt","= 0.192"
"mcap_e0_pct","−2.7"
"mcap_e0_pp","−2.7"
"mcap_e0_se","0.021"
"mcap_e1","−0.072"
"mcap_e1_hi","−0.008"
"mcap_e1_lo","−0.132"
"mcap_e1_p","0.029"
"mcap_e1_p_txt","= 0.029"
"mcap_e1_pct","−7.0"
"mcap_e1_pp","−7.2"
"mcap_e1_se","0.033"
"mcap_e2","−0.073"
"mcap_e2_hi","0.014"
"mcap_e2_lo","−0.155"
"mcap_e2_p","0.104"
"mcap_e2_p_txt","= 0.104"
"mcap_e2_pct","−7.0"
"mcap_e2_pp","−7.3"
"mcap_e2_se","0.045"
"mcap_e3","−0.048"
"mcap_e3_hi","0.057"
"mcap_e3_lo","−0.157"
"mcap_e3_p","0.386"
"mcap_e3_p_txt","= 0.386"
"mcap_e3_pct","−4.6"
"mcap_e3_pp","−4.8"
"mcap_e3_se","0.055"
"mcap_e4","0.088"
"mcap_e4_hi","0.212"
"mcap_e4_lo","−0.028"
"mcap_e4_p","0.153"
"mcap_e4_p_txt","= 0.153"
"mcap_e4_pct","9.2"
"mcap_e4_pp","8.8"
"mcap_e4_se","0.062"
"mcap_em2","−0.048"
"mcap_em2_hi","0.001"
"mcap_em2_lo","−0.096"
"mcap_em2_p","0.050"
"mcap_em2_p_txt","= 0.050"
"mcap_em2_pct","−4.7"
"mcap_em2_pp","−4.8"
"mcap_em2_se","0.024"
"mcap_em3","−0.062"
"mcap_em3_hi","0.008"
"mcap_em3_lo","−0.129"
"mcap_em3_p","0.079"
"mcap_em3_p_txt","= 0.079"
"mcap_em3_pct","−6.0"
"mcap_em3_pp","−6.2"
"mcap_em3_se","0.035"
"mcap_em4","−0.125"
"mcap_em4_hi","−0.039"
"mcap_em4_lo","−0.203"
"mcap_em4_p","0.003"
"mcap_em4_p_txt","= 0.003"
"mcap_em4_pct","−11.8"
"mcap_em4_pp","−12.5"
"mcap_em4_se","0.042"
"mcap_em5","−0.132"
"mcap_em5_hi","−0.030"
"mcap_em5_lo","−0.225"
"mcap_em5_p","0.008"
"mcap_em5_p_txt","= 0.008"
"mcap_em5_pct","−12.4"
"mcap_em5_pp","−13.2"
"mcap_em5_se","0.050"
"mcap_hi","0.003"
"mcap_hi_pct","0.3"
"mcap_high","−0.029"
"mcap_high_mde","0.095"
"mcap_high_n","317"
"mcap_high_p","0.395"
"mcap_high_p_txt","= 0.395"
"mcap_high_se","0.034"
"mcap_lo","−0.109"
"mcap_lo_pct","−10.3"
"mcap_lomo_ID","−0.030"
"mcap_lomo_ID_p","0.315"
"mcap_lomo_ID_p_txt","= 0.315"
"mcap_lomo_MY","0.037"
"mcap_lomo_MY_p","0.330"
"mcap_lomo_MY_p_txt","= 0.330"
"mcap_lomo_PH","−0.066"
"mcap_lomo_PH_p","0.035"
"mcap_lomo_PH_p_txt","= 0.035"
"mcap_lomo_SG","−0.066"
"mcap_lomo_SG_p","0.036"
"mcap_lomo_SG_p_txt","= 0.036"
"mcap_lomo_TH","−0.096"
"mcap_lomo_TH_p","0.010"
"mcap_lomo_TH_p_txt","= 0.010"
"mcap_low","−0.081"
"mcap_low_mde","0.117"
"mcap_low_n","318"
"mcap_low_p","0.053"
"mcap_low_p_txt","= 0.053"
"mcap_low_se","0.042"
"mcap_mde","0.084"
"mcap_mde_pct","8.8"
"mcap_mde_pp","8.4"
"mcap_nco","2,447"
"mcap_ntr","635"
"mcap_p","0.067"
"mcap_p_txt","= 0.067"
"mcap_pholm","0.134"
"mcap_pholm_txt","= 0.134"
"mcap_pre_p","0.022"
"mcap_pre_p_txt","= 0.022"
"mcap_pre_wald","11.45"
"mcap_R1","−0.053"
"mcap_R1_hi","0.003"
"mcap_R1_lo","−0.106"
"mcap_R1_p","0.068"
"mcap_R1_p_txt","= 0.068"
"mcap_R1_pct","−5.2"
"mcap_R1_se","0.029"
"mcap_R2","0.016"
"mcap_R2_hi","0.064"
"mcap_R2_lo","−0.033"
"mcap_R2_p","0.508"
"mcap_R2_p_txt","= 0.508"
"mcap_R2_pct","1.7"
"mcap_R2_se","0.025"
"mcap_R3","−0.029"
"mcap_R3_hi","0.044"
"mcap_R3_lo","−0.098"
"mcap_R3_p","0.421"
"mcap_R3_p_txt","= 0.421"
"mcap_R3_pct","−2.9"
"mcap_R3_se","0.036"
"mcap_R4","−0.007"
"mcap_R4_hi","0.053"
"mcap_R4_lo","−0.065"
"mcap_R4_p","0.825"
"mcap_R4_p_txt","= 0.825"
"mcap_R4_pct","−0.7"
"mcap_R4_se","0.031"
"mcap_R5","0.134"
"mcap_R5_hi","0.189"
"mcap_R5_lo","0.078"
"mcap_R5_p","<0.001"
"mcap_R5_p_txt","< 0.001"
"mcap_R5_pct","14.3"
"mcap_R5_se","0.028"
"mcap_R6","0.185"
"mcap_R6_p","<0.001"
"mcap_R6_p_txt","< 0.001"
"mcap_R6_pct","20.4"
"mcap_R6_se","0.032"
"mcap_R7","−0.134"
"mcap_R7_hi","−0.057"
"mcap_R7_hi_pct","−5.6"
"mcap_R7_lo","−0.213"
"mcap_R7_lo_pct","−19.2"
"mcap_R7_ntr","635"
"mcap_R7_p","0.001"
"mcap_R7_p_txt","= 0.001"
"mcap_R7_pct","−12.5"
"mcap_R7_se","0.042"
"mcap_R7_slope","0.036"
"mcap_R8","−0.034"
"mcap_R8_hi","0.025"
"mcap_R8_hi_pct","2.6"
"mcap_R8_lo","−0.093"
"mcap_R8_lo_pct","−8.9"
"mcap_R8_ntr","571"
"mcap_R8_p","0.281"
"mcap_R8_p_txt","= 0.281"
"mcap_R8_pct","−3.3"
"mcap_R8_se","0.032"
"mcap_R9","0.037"
"mcap_R9_hi","0.112"
"mcap_R9_hi_pct","11.9"
"mcap_R9_lo","−0.038"
"mcap_R9_lo_pct","−3.8"
"mcap_R9_ntr","260"
"mcap_R9_p","0.330"
"mcap_R9_p_txt","= 0.330"
"mcap_R9_pct","3.8"
"mcap_R9_se","0.038"
"mcap_runup_m2","4.9"
"mcap_runup_m3","6.4"
"mcap_runup_m4","13.4"
"mcap_runup_m5","14.1"
"mcap_se","0.030"
"mtb_att","0.002"
"mtb_att_pct","0.2"
"mtb_att_pp","0.2"
"mtb_diff","−0.041"
"mtb_diff_mde","0.113"
"mtb_diff_p","0.307"
"mtb_diff_p_txt","= 0.307"
"mtb_diff_se","0.040"
"mtb_e0","0.017"
"mtb_e0_hi","0.053"
"mtb_e0_lo","−0.019"
"mtb_e0_p","0.360"
"mtb_e0_p_txt","= 0.360"
"mtb_e0_pct","1.7"
"mtb_e0_pp","1.7"
"mtb_e0_se","0.018"
"mtb_e1","−0.005"
"mtb_e1_hi","0.043"
"mtb_e1_lo","−0.056"
"mtb_e1_p","0.838"
"mtb_e1_p_txt","= 0.838"
"mtb_e1_pct","−0.5"
"mtb_e1_pp","−0.5"
"mtb_e1_se","0.026"
"mtb_e2","0.017"
"mtb_e2_hi","0.087"
"mtb_e2_lo","−0.051"
"mtb_e2_p","0.620"
"mtb_e2_p_txt","= 0.620"
"mtb_e2_pct","1.7"
"mtb_e2_pp","1.7"
"mtb_e2_se","0.035"
"mtb_e3","−0.044"
"mtb_e3_hi","0.048"
"mtb_e3_lo","−0.135"
"mtb_e3_p","0.343"
"mtb_e3_p_txt","= 0.343"
"mtb_e3_pct","−4.3"
"mtb_e3_pp","−4.4"
"mtb_e3_se","0.046"
"mtb_e4","−0.077"
"mtb_e4_hi","0.044"
"mtb_e4_lo","−0.192"
"mtb_e4_p","0.209"
"mtb_e4_p_txt","= 0.209"
"mtb_e4_pct","−7.4"
"mtb_e4_pp","−7.7"
"mtb_e4_se","0.061"
"mtb_em2","−0.030"
"mtb_em2_hi","0.011"
"mtb_em2_lo","−0.070"
"mtb_em2_p","0.158"
"mtb_em2_p_txt","= 0.158"
"mtb_em2_pct","−2.9"
"mtb_em2_pp","−3.0"
"mtb_em2_se","0.021"
"mtb_em3","−0.036"
"mtb_em3_hi","0.025"
"mtb_em3_lo","−0.096"
"mtb_em3_p","0.236"
"mtb_em3_p_txt","= 0.236"
"mtb_em3_pct","−3.6"
"mtb_em3_pp","−3.6"
"mtb_em3_se","0.031"
"mtb_em4","−0.082"
"mtb_em4_hi","−0.016"
"mtb_em4_lo","−0.146"
"mtb_em4_p","0.015"
"mtb_em4_p_txt","= 0.015"
"mtb_em4_pct","−7.9"
"mtb_em4_pp","−8.2"
"mtb_em4_se","0.034"
"mtb_em5","−0.095"
"mtb_em5_hi","−0.019"
"mtb_em5_lo","−0.167"
"mtb_em5_p","0.015"
"mtb_em5_p_txt","= 0.015"
"mtb_em5_pct","−9.1"
"mtb_em5_pp","−9.5"
"mtb_em5_se","0.039"
"mtb_hi","0.048"
"mtb_hi_pct","4.9"
"mtb_high","−0.019"
"mtb_high_mde","0.084"
"mtb_high_n","312"
"mtb_high_p","0.535"
"mtb_high_p_txt","= 0.535"
"mtb_high_se","0.030"
"mtb_lo","−0.046"
"mtb_lo_pct","−4.5"
"mtb_lomo_ID","0.017"
"mtb_lomo_ID_p","0.472"
"mtb_lomo_ID_p_txt","= 0.472"
"mtb_lomo_max","0.017"
"mtb_lomo_min","−0.007"
"mtb_lomo_minp","0.472"
"mtb_lomo_MY","−0.003"
"mtb_lomo_MY_p","0.940"
"mtb_lomo_MY_p_txt","= 0.940"
"mtb_lomo_PH","−0.001"
"mtb_lomo_PH_p","0.968"
"mtb_lomo_PH_p_txt","= 0.968"
"mtb_lomo_SG","−0.007"
"mtb_lomo_SG_p","0.779"
"mtb_lomo_SG_p_txt","= 0.779"
"mtb_lomo_TH","0.004"
"mtb_lomo_TH_p","0.893"
"mtb_lomo_TH_p_txt","= 0.893"
"mtb_low","0.022"
"mtb_low_mde","0.091"
"mtb_low_n","316"
