"outcome","g","t","e","att","n_treated","n_control"
"leverage","2016","2018","2","0.005278815221","9","1465"
"leverage","2016","2019","3","0.01783021898","9","1465"
"leverage","2016","2020","4","0.03649293249","9","1499"
"leverage","2017","2014","-3","0.006714043786","6","1393"
"leverage","2017","2015","-2","-0.01327519245","7","1514"
"leverage","2017","2017","0","-0.007180091631","7","1601"
"leverage","2017","2018","1","-0.0263089543","5","1580"
"leverage","2017","2019","2","-0.07068367526","6","1580"
"leverage","2017","2020","3","-0.0617304339","7","1608"
"leverage","2017","2021","4","-0.04467704734","7","1601"
"leverage","2018","2014","-4","-0.04287223961","7","1363"
"leverage","2018","2015","-3","0.05725759656","8","1472"
"leverage","2018","2016","-2","0.04871625346","8","1601"
"leverage","2018","2018","0","0.05928669853","7","1711"
"leverage","2018","2019","1","0.02633106777","8","1675"
"leverage","2018","2020","2","0.008489967162","8","1700"
"leverage","2018","2021","3","0.01619252329","8","1698"
"leverage","2018","2022","4","0.01037456884","8","1686"
"leverage","2019","2014","-5","0.009061451719","25","1359"
"leverage","2019","2015","-4","-0.0171102897","25","1465"
"leverage","2019","2016","-3","0.02114667369","26","1580"
"leverage","2019","2017","-2","0.007844296134","28","1711"
"leverage","2019","2019","0","0.00158844","28","1829"
"leverage","2019","2020","1","0.01021710398","29","1844"
"leverage","2019","2021","2","0.01685603651","29","1835"
"leverage","2019","2022","3","0.0297483881","29","1826"
"leverage","2019","2023","4","0.02788483254","29","1817"
"leverage","2020","2015","-5","0.04161446608","72","1465"
"leverage","2020","2016","-4","0.05747777903","76","1580"
"leverage","2020","2017","-3","0.04346739461","77","1675"
"leverage","2020","2018","-2","0.03065250534","81","1829"
"leverage","2020","2020","0","0.01897153844","86","2033"
"leverage","2020","2021","1","0.03250120662","85","1999"
"leverage","2020","2022","2","0.03968852774","84","1988"
"leverage","2020","2023","3","0.03173986716","86","1974"
"leverage","2020","2024","4","0.04200868897","86","1971"
"leverage","2021","2016","-5","0.02282001636","114","1608"
"leverage","2021","2017","-4","0.02083305536","118","1700"
"leverage","2021","2018","-3","0.02016929109","121","1844"
"leverage","2021","2019","-2","0.01164332511","124","2033"
"leverage","2021","2021","0","-0.008554505287","123","2232"
"leverage","2021","2022","1","0.005688607914","123","2208"
"leverage","2021","2023","2","0.002424856277","123","2194"
"leverage","2021","2024","3","0.008601782881","127","2192"
"leverage","2022","2017","-5","0.02418600706","188","1698"
"leverage","2022","2018","-4","0.008460115244","195","1835"
"leverage","2022","2019","-3","0.01413858392","203","1999"
"leverage","2022","2020","-2","0.01419512802","212","2232"
"leverage","2022","2022","0","0.002023915502","212","2312"
"leverage","2022","2023","1","-0.001674152959","207","2285"
"leverage","2022","2024","2","0.00227056722","211","2281"
"leverage","2023","2018","-5","0.02456443746","81","1826"
"leverage","2023","2019","-4","0.008553663172","89","1988"
"leverage","2023","2020","-3","-0.002485997176","98","2208"
"leverage","2023","2021","-2","-0.004695479699","102","2312"
"leverage","2023","2023","0","0.002563824959","99","2336"
"leverage","2023","2024","1","0.009836783166","102","2304"
"leverage","2024","2019","-5","-0.001348292667","26","1974"
"leverage","2024","2020","-4","0.008206719159","32","2194"
"leverage","2024","2021","-3","0.001617524805","33","2285"
"leverage","2024","2022","-2","0.007272621762","32","2336"
"leverage","2024","2024","0","0.005985729367","33","2339"
"ln_asset","2015","2015","0","0.09670990876","8","1709"
"ln_asset","2015","2016","1","0.1013100764","8","1703"
"ln_asset","2015","2017","2","0.09695462603","8","1697"
"ln_asset","2015","2018","3","0.1054442118","8","1700"
"ln_asset","2015","2019","4","0.1117071817","8","1690"
"ln_asset","2016","2014","-2","-0.1959114422","8","1709"
"ln_asset","2016","2016","0","0.09168359738","8","1824"
"ln_asset","2016","2017","1","0.1466668657","9","1805"
"ln_asset","2016","2018","2","0.1567924972","9","1810"
"ln_asset","2016","2019","3","0.1922656185","9","1803"
"ln_asset","2016","2020","4","0.3075204901","9","1807"
"ln_asset","2017","2014","-3","-0.3362319758","6","1703"
"ln_asset","2017","2015","-2","-0.2837775318","7","1824"
"ln_asset","2017","2017","0","-0.03645418933","7","1930"
"ln_asset","2017","2018","1","-0.03751580164","5","1926"
"ln_asset","2017","2019","2","-0.1012404434","6","1919"
"ln_asset","2017","2020","3","0.06269364645","7","1924"
"ln_asset","2017","2021","4","0.1408686937","7","1923"
"ln_asset","2018","2014","-4","0.118522358","7","1697"
"ln_asset","2018","2015","-3","0.09847967627","8","1805"
"ln_asset","2018","2016","-2","0.05207474021","8","1930"
"ln_asset","2018","2018","0","0.09080741314","7","2050"
"ln_asset","2018","2019","1","0.03942742144","8","2030"
"ln_asset","2018","2020","2","0.1127857896","8","2036"
"ln_asset","2018","2021","3","0.09187173353","8","2037"
"ln_asset","2018","2022","4","0.1042251436","8","2033"
"ln_asset","2019","2014","-5","-0.1126983484","26","1700"
"ln_asset","2019","2015","-4","-0.09774107619","28","1810"
"ln_asset","2019","2016","-3","-0.06059996797","28","1926"
"ln_asset","2019","2017","-2","-0.01950914496","29","2050"
"ln_asset","2019","2019","0","0.08604364163","30","2170"
"ln_asset","2019","2020","1","0.1518963397","30","2170"
"ln_asset","2019","2021","2","0.1437115343","30","2170"
"ln_asset","2019","2022","3","0.1700906149","30","2165"
"ln_asset","2019","2023","4","0.1514959627","30","2160"
"ln_asset","2020","2015","-5","-0.08135481157","80","1803"
"ln_asset","2020","2016","-4","-0.09679277904","83","1919"
"ln_asset","2020","2017","-3","-0.07785866032","84","2030"
"ln_asset","2020","2018","-2","-0.01552984232","88","2170"
"ln_asset","2020","2020","0","0.03018385787","88","2304"
"ln_asset","2020","2021","1","0.0601628475","87","2287"
"ln_asset","2020","2022","2","0.07164325693","87","2280"
"ln_asset","2020","2023","3","0.05202894166","88","2273"
"ln_asset","2020","2024","4","0.0771478985","88","2290"
"ln_asset","2021","2016","-5","-0.09993749277","127","1924"
"ln_asset","2021","2017","-4","-0.04603653573","131","2036"
"ln_asset","2021","2018","-3","-0.008614439974","131","2170"
"ln_asset","2021","2019","-2","0.0004562022397","134","2304"
"ln_asset","2021","2021","0","0.05691526455","130","2417"
"ln_asset","2021","2022","1","0.1071276102","130","2403"
"ln_asset","2021","2023","2","0.09818860594","129","2397"
"ln_asset","2021","2024","3","0.09123163321","133","2415"
"ln_asset","2022","2017","-5","0.006555566578","217","2037"
"ln_asset","2022","2018","-4","-0.002623045346","217","2170"
"ln_asset","2022","2019","-3","0.02972394826","221","2287"
"ln_asset","2022","2020","-2","0.00333344942","224","2417"
"ln_asset","2022","2022","0","0.005642798347","223","2500"
"ln_asset","2022","2023","1","-0.01355480213","219","2484"
"ln_asset","2022","2024","2","-0.02650323086","225","2500"
"ln_asset","2023","2018","-5","-0.1585925092","94","2165"
"ln_asset","2023","2019","-4","-0.1104989213","100","2280"
"ln_asset","2023","2020","-3","-0.02654620396","105","2403"
"ln_asset","2023","2021","-2","0.01008402144","107","2500"
"ln_asset","2023","2023","0","0.02641096537","105","2518"
"ln_asset","2023","2024","1","-0.0310349073","107","2513"
"ln_asset","2024","2019","-5","-0.07058817726","26","2273"
"ln_asset","2024","2020","-4","-0.05360371296","32","2397"
"ln_asset","2024","2021","-3","-0.04949468106","33","2484"
"ln_asset","2024","2022","-2","-0.04461520868","33","2518"
"ln_asset","2024","2024","0","0.1422530274","33","2529"
