firm_id,year,country,company,industry_code,ESG_Score,ESGC_Score,board_size,board_ind,female_board,sus_comp,pe_comp,marketcap,roa,debt,asset,mtb,gri,co,greenwashing,female_critical_mass,log_co2,leverage,firm_size,roa_raw,leverage_raw,mtb_raw
263,2021,TH,Banpu PCL,energy,82.4168139909422,100.0,13.0,42.8571428571429,7.69230769230769,0.0,1.0,2151192323.68326,0.0667,6043476000.0,10945557000.0,0.909852650343883,1.0,7654367.0,-17.5831860090578,0.0,15.85078689260323,0.5521396489918238,23.11619945744407,0.0667,0.5521396489918238,0.909852650343883
263,2022,TH,Banpu PCL,energy,86.4335523892074,100.0,13.0,38.4615384615385,7.69230769230769,1.0,1.0,3346489772.19301,0.17138,6067539000.0,12637841000.0,0.98164129288787,1.0,7239161.0,-13.56644761079259,0.0,15.79501587366893,0.4801088255501869,23.25996140411393,0.17138,0.4801088255501869,0.98164129288787
263,2023,TH,Banpu PCL,energy,84.0845797976952,100.0,13.0,35.7142857142857,7.69230769230769,1.0,1.0,1988573804.14478,0.0123,6542334000.0,13000283000.0,0.518861071206801,1.0,8776664.0,-15.9154202023048,0.0,15.98760693896841,0.5032455062709019,23.28823696340177,0.0123,0.5032455062709019,0.518861071206801
263,2024,TH,Banpu PCL,energy,81.712974396565,100.0,13.0,42.8571428571429,15.3846153846154,1.0,1.0,1759760431.79157,-0.00158,6210644000.0,12399311000.0,0.528204629940788,1.0,8613863.0,-18.287025603435,0.0,15.96888344012795,0.5008862185971462,23.24090674349751,-0.00158,0.5008862185971462,0.528204629940788
264,2014,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,67.6469304723985,58.974358974359,8.0,40.0,25.0,0.0,0.0,5268116650.74964,0.3684360000000003,105992846.924177,367399141.630901,35.1261376110899,1.0,27687.0,8.672571498039495,0.0,10.22871826793369,0.288495085899412,19.7219593944086,0.67946,0.288495085899412,35.1261376110899
264,2015,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,71.3981010321433,100.0,8.0,37.5,25.0,0.0,0.0,3697194389.88112,0.3684360000000003,71095571.0955711,281351981.351981,29.0162760723277,1.0,22211.0,-28.6018989678567,0.0,10.00834294063851,0.2526926263463135,19.45511704612188,0.7306999999999999,0.2526926263463135,29.0162760723277
264,2016,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,80.9533315768736,100.0,8.0,30.0,25.0,0.0,0.0,2812822979.44698,0.3684360000000003,29061210.8373286,266636637.306277,20.5640721078733,1.0,19368.0,-19.04666842312641,0.0,9.871377498617894,0.1089918142192399,19.40139738052164,0.60039,0.1089918142192399,20.5640721078733
264,2017,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,84.8754978831102,100.0,7.0,57.1428571428571,28.5714285714286,0.0,0.0,2824233432.2453,0.04398,93471810.0890208,258292037.586548,29.8905263268089,1.0,8094.33,-15.1245021168898,0.0,8.998919095546137,0.3618842104557731,19.36960143136773,0.04398,0.3618842104557731,29.8905263268089
264,2019,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,77.9335536865879,40.2777777777778,7.0,55.5555555555556,28.5714285714286,0.0,0.0,1053018439.71631,0.32469,109366837.857667,251441672.780631,11.0808104359194,1.0,2362.0,37.6557759088101,0.0,7.767263996757308,0.4349590767839169,19.34272160323384,0.32469,0.4349590767839169,11.0808104359194
264,2020,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,80.2634459303285,100.0,7.0,50.0,28.5714285714286,0.0,0.0,1000065273.63184,0.22269,133215174.129353,284569402.985075,10.7886249158032,1.0,1940.0,-19.7365540696715,0.0,7.570443252057374,0.4681289440535525,19.46648772900384,0.22269,0.4681289440535525,10.7886249158032
